attendance_id,emp_id,check_in,check_out,work_hours
1,1,6/22/2024 8:15,6/22/2024 17:00,8.75
2,2,9/11/2024 9:00,9/11/2024 17:30,8.5
3,3,9/29/2024 10:45,9/29/2024 19:15,8.5
4,4,12/30/2025 8:00,12/30/2025 16:30,8.5
5,5,5/18/2024 10:30,5/18/2024 18:30,8
6,6,3/25/2024 10:45,3/25/2024 19:15,8.5
7,7,7/19/2025 9:45,7/19/2025 17:45,8
8,8,10/26/2024 10:15,10/26/2024 18:45,8.5
9,9,2/4/2024 10:45,2/4/2024 18:45,8
10,10,2/7/2025 10:15,2/7/2025 18:45,8.5
11,11,11/30/2024 8:30,11/30/2024 17:00,8.5
12,12,5/30/2025 8:30,5/30/2025 17:00,8.5
13,13,6/1/2025 9:30,6/1/2025 18:15,8.75
14,14,6/25/2025 9:15,6/25/2025 17:30,8.25
15,15,11/22/2024 10:45,11/22/2024 19:00,8.25
16,16,4/23/2025 10:30,4/23/2025 19:15,8.75
17,17,3/1/2025 8:30,3/1/2025 17:00,8.5
18,18,6/12/2024 9:30,6/12/2024 18:15,8.75
19,19,12/9/2024 9:15,12/9/2024 18:00,8.75
20,20,9/8/2025 10:15,9/8/2025 18:15,8
