invoice_id,order_id,invoice_date,total_amount
1,1,2025-11-22,462784
2,2,2024-08-28,536336
3,3,2025-02-17,82459
4,4,2024-05-02,168496
5,5,2025-08-06,80318
6,6,2024-09-09,143724
7,7,2025-08-15,130044
8,8,2025-08-31,140028
9,9,2024-02-10,316016
10,10,2025-09-26,258168
11,11,2024-03-24,60648
12,12,2025-03-05,326448
13,13,2025-11-04,24276
14,14,2025-08-20,524048
15,15,2025-08-01,35178
16,16,2025-06-19,47855
17,17,2024-11-19,135864
18,18,2024-09-24,251184
19,19,2024-07-28,70482
20,20,2025-11-16,640056
