order_id,customer_id,order_date,status
1,1,2024-03-06,Shipped
2,2,2024-01-22,Delivered
3,3,2025-07-21,Pending
4,4,2025-08-25,Pending
5,5,2024-01-08,Pending
6,6,2025-12-25,Delivered
7,7,2024-03-01,Pending
8,8,2024-03-10,Pending
9,9,2024-12-04,Pending
10,10,2025-06-10,Pending
11,11,2024-10-12,Delivered
12,12,2025-05-12,Pending
13,13,2025-07-06,Pending
14,14,2026-01-10,Delivered
15,15,2025-08-13,Shipped
16,16,2024-09-05,Shipped
17,17,2025-02-20,Pending
18,18,2024-04-06,Pending
19,19,2025-11-05,Shipped
20,20,2024-12-28,Shipped
