payment_id,order_id,amount,payment_date,payment_method
1,1,462784,7/17/2025,Cash
2,2,536336,2/21/2024,Cash
3,3,82459,4/5/2024,Card
4,4,168496,6/19/2024,NetBanking
5,5,80318,5/12/2025,NetBanking
6,6,143724,8/6/2024,NetBanking
7,7,130044,3/1/2024,Card
8,8,140028,1/23/2025,Cash
9,9,316016,2/3/2025,UPI
10,10,258168,4/10/2025,UPI
11,11,60648,3/9/2025,NetBanking
12,12,326448,6/7/2024,Card
13,13,24276,10/30/2024,Card
14,14,524048,2/29/2024,Cash
15,15,35178,11/17/2024,Cash
16,16,47855,2/21/2024,NetBanking
17,17,135864,5/29/2025,Card
18,18,251184,2/28/2024,Cash
19,19,70482,7/9/2024,Cash
20,20,640056,9/1/2025,Cash
