payroll_id,emp_id,basic_salary,bonus,deductions,net_salary
1,1,65196,9445,5938,68703
2,2,109167,6491,1265,114393
3,3,58784,12023,3042,67765
4,4,57444,14214,2131,69527
5,5,47313,1400,878,47835
6,6,60092,8784,5507,63369
7,7,37545,8461,3895,42111
8,8,103454,4185,6384,101255
9,9,78328,9099,3773,83654
10,10,59979,3417,5874,57522
11,11,28726,13303,7548,34481
12,12,41970,13753,3982,51741
13,13,56683,3881,7087,53477
14,14,95889,8611,911,103589
15,15,101060,5082,7449,98693
16,16,43906,8478,1592,50792
17,17,88901,11937,4851,95987
18,18,101259,10755,3099,108915
19,19,86008,11037,7176,89869
20,20,94162,7991,7304,94849
