purchase_id,supplier_id,purchase_date,total_amount
1,1,2026-01-03,92361
2,2,2024-09-01,79629
3,3,2025-02-09,44308
4,4,2025-11-18,179214
5,5,2024-11-03,129858
6,6,2024-11-19,207096
7,7,2024-03-15,12441
8,8,2025-04-14,172833
9,9,2025-07-30,36209
10,10,2024-03-16,150937
11,11,2024-08-06,142614
12,12,2024-09-28,44722
13,13,2024-12-23,240913
14,14,2024-03-11,240495
15,15,2024-09-07,106869
16,16,2024-10-18,51352
17,17,2025-03-24,228561
18,18,2025-07-10,194428
19,19,2024-11-05,170347
20,20,2025-10-31,148658
