supplier_id,supplier_name,phone,address
1,Tata Supply Co.,7715412119,"Coimbatore, India"
2,Reliance Wholesale,6941975480,"Hyderabad, India"
3,Mahindra Traders,8188398760,"Delhi, India"
4,Infosys Procurement,6390452952,"Chennai, India"
5,Wipro Supplies,9698408854,"Bengaluru, India"
6,HCL Distributors,6656448479,"Hyderabad, India"
7,Godrej Traders,9401954956,"Kochi, India"
8,L&T Industrial Supplies,8561557300,"Bengaluru, India"
9,TVS Components,7652563013,"Kochi, India"
10,Crompton Vendors,8559321289,"Delhi, India"
11,Bharat Logistics,8272528809,"Pune, India"
12,Blue Dart Partners,8376087131,"Chennai, India"
13,Apollo Distributors,8921794983,"Bengaluru, India"
14,Sun Pharma Supplies,8927923735,"Kolkata, India"
15,Marico Wholesale,9224995600,"Pune, India"
16,Asian Paints Vendors,9301106403,"Coimbatore, India"
17,Havells Suppliers,6479112937,"Pune, India"
18,Bosch Parts India,7867302554,"Hyderabad, India"
19,Dell Channel Partner,7948728483,"Chennai, India"
20,HP Enterprise Vendor,9101361778,"Pune, India"
